818,-0.10787,4.0615e-05,0.0084823,5.4643e-10,0,15,17,0,20,0,15,0,6.6738e-05,99.999,0.0078678
502,-0.10095,2.0284e-05,0.070277,3.5532e-10,12,8,20,0,9,4,13,0,6.6738e-05,99.999,0.00094963
600,-0.10244,4.1083e-06,0.027318,1.6647e-10,3,10,17,12,20,0,10,0,6.6738e-05,100,0.002443
866,-0.10661,1.7077e-05,0.010102,5.3149e-10,8,0,20,0,20,0,13,0,6.6738e-05,99.999,0.0066062
579,-0.10062,4.7777e-06,0.10802,1.5473e-10,5,19,20,13,12,16,13,0,6.6738e-05,100,0.00061781
844,-0.10013,6.1856e-06,0.53035,1.6837e-10,6,13,9,20,13,12,12,0,6.6738e-05,100,0.00012584
635,-0.10273,5.0996e-05,0.024472,7.1331e-10,0,9,11,15,18,10,14,0,6.6738e-05,99.999,0.0027271
666,-0.10358,1.7937e-05,0.018666,6.7409e-10,10,10,20,0,12,0,13,0,6.6738e-05,99.999,0.0035754
631,-0.10035,3.1165e-06,0.18818,9.6438e-11,5,7,14,17,9,2,17,0,6.6738e-05,100,0.00035464
709,-0.1001,8.3046e-06,0.64524,4.186e-10,5,0,6,0,0,0,20,0,6.6738e-05,99.999,0.00010343
